rule,side,horizon,tp,sl,train,oos_april,latest
breakout5_long,long,20,0.3,0.8,"{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 9192, 'mean': -0.508964, 'win_rate': 0.2646, 'profit_factor': 0.1349, 'total': -4678.4}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 3797, 'mean': -0.417303, 'win_rate': 0.3479, 'profit_factor': 0.2001, 'total': -1584.5}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 447, 'mean': -0.411186, 'win_rate': 0.3535, 'profit_factor': 0.205, 'total': -183.8}"
breakout5_long,long,10,0.3,0.8,"{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 9192, 'mean': -0.508964, 'win_rate': 0.2646, 'profit_factor': 0.1349, 'total': -4678.4}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 3797, 'mean': -0.417303, 'win_rate': 0.3479, 'profit_factor': 0.2001, 'total': -1584.5}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 450, 'mean': -0.411333, 'win_rate': 0.3533, 'profit_factor': 0.2049, 'total': -185.1}"
core_ema9_20_long,long,20,0.3,0.8,"{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 20, 'count': 3196, 'mean': -0.444118, 'win_rate': 0.3235, 'profit_factor': 0.1793, 'total': -1419.4}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 20, 'count': 1284, 'mean': -0.428193, 'win_rate': 0.338, 'profit_factor': 0.1915, 'total': -549.8}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 20, 'count': 56, 'mean': -0.367857, 'win_rate': 0.3929, 'profit_factor': 0.2426, 'total': -20.6}"
core_ema9_20_long,long,10,0.3,0.8,"{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 10, 'count': 3196, 'mean': -0.444118, 'win_rate': 0.3235, 'profit_factor': 0.1793, 'total': -1419.4}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 10, 'count': 1284, 'mean': -0.428193, 'win_rate': 0.338, 'profit_factor': 0.1915, 'total': -549.8}","{'name': 'core_ema9_20_long', 'side': 'long', 'horizon': 10, 'count': 57, 'mean': -0.375439, 'win_rate': 0.386, 'profit_factor': 0.2357, 'total': -21.4}"
ema9_20_momo_long,long,20,0.3,0.8,"{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 16851, 'mean': -0.491692, 'win_rate': 0.2803, 'profit_factor': 0.146, 'total': -8285.5}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 6919, 'mean': -0.428776, 'win_rate': 0.3375, 'profit_factor': 0.191, 'total': -2966.7}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 797, 'mean': -0.423212, 'win_rate': 0.3425, 'profit_factor': 0.1954, 'total': -337.3}"
ema9_20_momo_long,long,10,0.3,0.8,"{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 10, 'count': 16851, 'mean': -0.491692, 'win_rate': 0.2803, 'profit_factor': 0.146, 'total': -8285.5}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 10, 'count': 6919, 'mean': -0.428776, 'win_rate': 0.3375, 'profit_factor': 0.191, 'total': -2966.7}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 10, 'count': 802, 'mean': -0.42419, 'win_rate': 0.3416, 'profit_factor': 0.1946, 'total': -340.2}"
ema50_200_momo_short,short,10,0.3,0.8,"{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 10, 'count': 14581, 'mean': -0.543954, 'win_rate': 0.2328, 'profit_factor': 0.1138, 'total': -7931.4}","{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 10, 'count': 7278, 'mean': -0.456458, 'win_rate': 0.3123, 'profit_factor': 0.1703, 'total': -3322.1}","{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 10, 'count': 1081, 'mean': -0.410268, 'win_rate': 0.3543, 'profit_factor': 0.2058, 'total': -443.5}"
ema50_200_momo_short,short,20,0.3,0.8,"{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 20, 'count': 14581, 'mean': -0.543954, 'win_rate': 0.2328, 'profit_factor': 0.1138, 'total': -7931.4}","{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 20, 'count': 7278, 'mean': -0.456458, 'win_rate': 0.3123, 'profit_factor': 0.1703, 'total': -3322.1}","{'name': 'ema50_200_momo_short', 'side': 'short', 'horizon': 20, 'count': 1081, 'mean': -0.410268, 'win_rate': 0.3543, 'profit_factor': 0.2058, 'total': -443.5}"
breakout5_long,long,20,0.3,0.5,"{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 9192, 'mean': -0.366232, 'win_rate': 0.1672, 'profit_factor': 0.1205, 'total': -3366.4}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 3797, 'mean': -0.331235, 'win_rate': 0.211, 'profit_factor': 0.1604, 'total': -1257.7}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 20, 'count': 447, 'mean': -0.328188, 'win_rate': 0.2148, 'profit_factor': 0.1641, 'total': -146.7}"
breakout5_long,long,10,0.3,0.5,"{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 9192, 'mean': -0.366232, 'win_rate': 0.1672, 'profit_factor': 0.1205, 'total': -3366.4}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 3797, 'mean': -0.331235, 'win_rate': 0.211, 'profit_factor': 0.1604, 'total': -1257.7}","{'name': 'breakout5_long', 'side': 'long', 'horizon': 10, 'count': 450, 'mean': -0.329333, 'win_rate': 0.2133, 'profit_factor': 0.1627, 'total': -148.2}"
raw_seq9_up_long,long,10,0.3,0.8,"{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 10, 'count': 141, 'mean': -0.511348, 'win_rate': 0.2624, 'profit_factor': 0.1334, 'total': -72.1}","{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 10, 'count': 31, 'mean': -0.480645, 'win_rate': 0.2903, 'profit_factor': 0.1534, 'total': -14.9}","{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 10, 'count': 4, 'mean': -0.25, 'win_rate': 0.5, 'profit_factor': 0.375, 'total': -1.0}"
raw_seq9_up_long,long,20,0.3,0.8,"{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 20, 'count': 141, 'mean': -0.511348, 'win_rate': 0.2624, 'profit_factor': 0.1334, 'total': -72.1}","{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 20, 'count': 31, 'mean': -0.480645, 'win_rate': 0.2903, 'profit_factor': 0.1534, 'total': -14.9}","{'name': 'raw_seq9_up_long', 'side': 'long', 'horizon': 20, 'count': 4, 'mean': -0.25, 'win_rate': 0.5, 'profit_factor': 0.375, 'total': -1.0}"
ema9_20_momo_long,long,20,0.3,0.5,"{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 16851, 'mean': -0.356341, 'win_rate': 0.1796, 'profit_factor': 0.1313, 'total': -6004.7}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 6919, 'mean': -0.342289, 'win_rate': 0.1971, 'profit_factor': 0.1473, 'total': -2368.3}","{'name': 'ema9_20_momo_long', 'side': 'long', 'horizon': 20, 'count': 797, 'mean': -0.338394, 'win_rate': 0.202, 'profit_factor': 0.1519, 'total': -269.7}"
